ID,ID LATTES,ORIENTAÇÕES CONC. TCC,ORIENTACOES CONC. ESPECIALIZACAO,O.P MESTRADO CONC.,O.P MESTRADO AND.,O.P DOUTORADO CONC.,O.P DOUTORADO AND.,C.O MESTRADO CONC.,C.O MESTRADO AND.,C.O DOUTORADO CONC.,C.O DOUTORADO AND.,BOLSA PRODUTIVIDADE,PUB. TEC. E ART.,LIVROS ISBN,CAPÍTULOS ISBN,PUB. TRAB. EVENTOS,PATENTES,REGISTROS DE SW,ORIENTAÇÕES I.C,EVENTOS ORGANIZADOS,PUBLICAÇÕES CIENTÍFICAS,PI,Obs,Grande Área,Titulação,Unidade
1,15352555852293,0,0,0,0,0,0,0,0,0,0,,0,2,6,3,0,0,4,4,10,"102,98",,Ciências Humanas,Campus Petrolina,Campus Petrolina
2,303674862794540,2,13,8,2,0,0,1,0,0,0,,6,1,0,9,0,0,3,8,23,"225,56",,Ciências Sociais Aplicadas,Faculdade de Ciências da Administração de Pernambuco,Faculdade de Ciências da Administração de Pernambuco
3,93014121449327,20,0,10,6,0,3,1,0,0,0,,0,8,12,4,0,0,14,17,6,"286,39",,Ciências Humanas,Campus Mata Norte,Campus Mata Norte
4,4078587421353063,27,0,0,0,0,0,0,0,0,0,,0,0,0,9,0,0,0,1,2,"112,79",,Engenharias,Escola Politécnica de Pernambuco,Escola Politécnica de Pernambuco
5,4437285515355236,25,0,0,0,0,0,0,1,0,2,,0,0,2,0,0,0,1,0,18,"195,35",,Ciências da Saúde,Faculdade de Odontologia de Pernambuco,Faculdade de Odontologia de Pernambuco
6,"9,46754306027828E+015",0,7,0,0,0,0,0,0,0,0,,0,0,2,0,0,0,5,3,7,"82,19",,Ciências da Saúde,Instituto de Ciências Biológicas,Instituto de Ciências Biológicas
7,818921260748338,26,0,0,2,0,0,0,0,0,0,,0,0,2,8,0,0,3,3,5,"140,91",,Ciências Sociais Aplicadas,Campus Caruaru,Campus Caruaru
8,7452475452740237,0,0,0,0,0,0,0,0,1,0,,0,1,6,0,0,0,8,0,3,"61,38",,Ciências da Saúde,Faculdade de Ciências Médicas de Pernambuco,Faculdade de Ciências Médicas de Pernambuco
9,2776288240769301,3,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,3,0,"9,12",,Ciências Sociais Aplicadas,Campus Arcoverde,Campus Arcoverde
10,309510016707230,17,0,3,3,0,0,1,0,0,0,,0,0,3,1,0,0,1,13,13,"161,38",,Ciências da Saúde,Escola Superior de Educação Física,Escola Superior de Educação Física
11,5640748214583434,6,0,0,0,0,0,0,0,0,0,,0,0,7,1,0,0,5,3,6,"83,21",,Ciências Exatas e da Terra,Campus Garanhuns,Campus Garanhuns
12,6475270087328331,0,12,0,0,0,0,1,0,0,0,,0,1,2,2,0,0,3,1,13,"136,5",,Ciências da Saúde,Campus Arcoverde,Campus Arcoverde
