"ug","contrato_ano","objeto","situacao","estagio","processo","fornecedor",data_inicio_vigencia,data_fim_vigencia,valor,"download"
"AGêNCIA ESTADUAL DE MEIO AMBIENTE","001/2024","1.004 GÁS ENGARRAFADO",,"EM EXECUçãO","29/2023","33965309000175 - J M VIEIRA COMERCIO DE GAS E AGUA",2024/03/01 00:00:00.000,2025/02/28 00:00:00.000, 7860.0,"http://web.transparencia.pe.gov.br/contratos/849/LICON_Contrato_849_2024_001_1365165.pdf"
"AGêNCIA ESTADUAL DE MEIO AMBIENTE","002/2024","2.062 PASSAGENS E DESPESAS COM LOCOMOÇÃO",,"EM EXECUçãO",,"9480880000115 - BRASLUSO TURISMO LTDA - EPP",2024/02/15 00:00:00.000,2025/02/14 00:00:00.000, 150000.0,"http://web.transparencia.pe.gov.br/contratos/849/LICON_Contrato_849_2024_002_1360552.pdf"
"AGêNCIA ESTADUAL DE MEIO AMBIENTE","003/2024","2.099 SERVIÇO",,"EM EXECUçãO",,"11457039000159 - GESTÃO DE TERCEIRIZAÇÃO EM SERVIÇOS SELEÇÃO E AGENCIAMENTO DE MÃO-DE-OBRA LTDA",2024/03/01 00:00:00.000,2025/02/28 00:00:00.000, 461999.44,"http://web.transparencia.pe.gov.br/contratos/849/LICON_Contrato_849_2024_003_1367117.pdf"
"AGêNCIA ESTADUAL DE MEIO AMBIENTE","004/2024","1.001 GÊNEROS ALIMENTÍCIOS",,"EM EXECUçãO",,"22553731000105 - A S DE LIMA COMERCIO-EPP",2024/04/01 00:00:00.000,2025/03/31 00:00:00.000, 19755.0,"http://web.transparencia.pe.gov.br/contratos/849/LICON_Contrato_849_2024_004_1377955.pdf"
"AGêNCIA ESTADUAL DE MEIO AMBIENTE","005/2024","2.002 LOCAÇÃO DE BENS MÓVEIS EM GERAL",,"EM EXECUçãO",,"11897590000113 - WC LOCAçãO E SERVIçOS LTDA.",2024/04/01 00:00:00.000,2025/03/31 00:00:00.000, 65499.96,"http://web.transparencia.pe.gov.br/contratos/849/LICON_Contrato_849_2024_005_1401759.pdf"
"AGêNCIA ESTADUAL DE MEIO AMBIENTE","006/2024","2.099 SERVIÇO",,"EM EXECUçãO",,"21179250000100 - SHALON SERVIÇOS DE CONSERVAÇÃO LTDA",2024/04/01 00:00:00.000,2025/03/31 00:00:00.000, 157043.29,"http://web.transparencia.pe.gov.br/contratos/849/LICON_Contrato_849_2024_006_1396090.pdf"
"AGêNCIA ESTADUAL DE MEIO AMBIENTE","007/2024","2.099 SERVIÇO",,"EM EXECUçãO",,"126621000116 - TRANS SERVI TRANSPORTES E SERVIÇOS LTDA ME",2024/03/28 00:00:00.000,2025/03/27 00:00:00.000, 36300.0,"http://web.transparencia.pe.gov.br/contratos/849/LICON_Contrato_849_2024_007_1393743.pdf"
"AGêNCIA ESTADUAL DE MEIO AMBIENTE","008/2024","2.099 SERVIÇO",,"EM EXECUçãO","20/2023","46371433000154 - LUCIA MARIA TEIXEIRA DE MENEZES",2024/05/22 00:00:00.000,2025/05/21 00:00:00.000, 2844.0,"http://web.transparencia.pe.gov.br/contratos/849/LICON_Contrato_849_2024_008_1409178.pdf"
"AGêNCIA ESTADUAL DE MEIO AMBIENTE","009/2024","2.099 SERVIÇO",,"EM EXECUçãO",,"4410021000136 - GEOSOLOS CONSULTORIA PROJETOS E SERVIÇOS LTDA",2024/05/08 00:00:00.000,2025/05/07 00:00:00.000, 450000.0,"http://web.transparencia.pe.gov.br/contratos/849/LICON_Contrato_849_2024_009_1402740.pdf"
"AGêNCIA ESTADUAL DE MEIO AMBIENTE","010/2024","2.099 SERVIÇO",,"EM EXECUçãO",,"10998292000157 - CENTRO DE INTEGRACAO EMPRESA ESCOLA DE  PERNAMBUCO",2024/05/14 00:00:00.000,2025/05/13 00:00:00.000, 289560.0,"http://web.transparencia.pe.gov.br/contratos/849/LICON_Contrato_849_2024_010_1405725.pdf"
"AGêNCIA ESTADUAL DE MEIO AMBIENTE","011/2024","2.099 SERVIÇO",,"EM EXECUçãO",,"11078681000127 - ARMAZÉM 21 COMÉRCIO E SERVIÇOS EIRELLE ME",2024/06/03 00:00:00.000,2025/06/02 00:00:00.000, 25000.0,"http://web.transparencia.pe.gov.br/contratos/849/LICON_Contrato_849_2024_011_1412928.pdf"
"AGêNCIA ESTADUAL DE MEIO AMBIENTE","013/2024","2.077 OUTROS SERVIÇOS DE INFORMÁTICA",,"EM EXECUçãO",,"1554285000175 - CERTISIGN CERTIFICADORA DIGITAL S/A",2024/06/25 00:00:00.000,2025/06/24 00:00:00.000, 1606.74,"http://web.transparencia.pe.gov.br/contratos/849/LICON_Contrato_849_2024_013_1421593.pdf"
"AGêNCIA ESTADUAL DE PLANEJAMENTO E PESQUISAS DE PERNAMBUCO","001/2024","2.001 LOCAÇÃO DE IMÓVEIS",,"EM EXECUçãO","661/2023","4809727000175 - ÁGIL - AGILIDADE COMERCIAL, REPRESENTAÇÕES E PARTICIPAÇÕES S/A",2024/02/01 00:00:00.000,2029/01/31 00:00:00.000, 2199899.4,"http://web.transparencia.pe.gov.br/contratos/852/LICON_Contrato_852_2024_001_1364561.pdf"
"AGêNCIA ESTADUAL DE PLANEJAMENTO E PESQUISAS DE PERNAMBUCO","002/2024","2.075 SERVIÇOS PRESTADOS POR PROFISSIONAIS COM HABILITAÇÃO ESPECÍFICA",,"EM EXECUçãO","5/2024","24832182000125 - RBO CONSULTORES E AUDITORES",2024/02/01 00:00:00.000,2024/04/01 00:00:00.000, 12980.0,"http://web.transparencia.pe.gov.br/contratos/852/LICON_Contrato_852_2024_002_1364648.pdf"
"AGêNCIA ESTADUAL DE PLANEJAMENTO E PESQUISAS DE PERNAMBUCO","003/2024","1.050 APARELHOS E EQUIPAMENTOS DOMÉSTICOS",,"EM EXECUçãO","171/2023","6983851000188 - ACR COMERCIAL LTDA",2024/02/15 00:00:00.000,2025/02/14 00:00:00.000, 64716.0,"http://web.transparencia.pe.gov.br/contratos/852/LICON_Contrato_852_2024_003_1357026.pdf"
"AGêNCIA ESTADUAL DE PLANEJAMENTO E PESQUISAS DE PERNAMBUCO","004/2024","2.099 SERVIÇO",,"EM EXECUçãO",,"10998292000157 - CENTRO  DE INTEGRAÇÃO EMPRESA ESCOLA DE PERNAMBUCO - CIEE/PE",2024/04/11 00:00:00.000,2025/04/10 00:00:00.000, 198172.8,"http://web.transparencia.pe.gov.br/contratos/852/LICON_Contrato_852_2024_004_1407635.pdf"
"AGêNCIA ESTADUAL DE PLANEJAMENTO E PESQUISAS DE PERNAMBUCO","005/2024","1.206 SERVIÇO DE LOCAÇÃO DE SOFTWARES",,"EM EXECUçãO","369/2024","66582784000111 - MAPDATA  TECNOLOGIA, INFORMÁTICA E COMÉRCIO LTDA",2024/04/19 00:00:00.000,2025/04/18 00:00:00.000, 12000.0,"http://web.transparencia.pe.gov.br/contratos/852/LICON_Contrato_852_2024_005_1408550.pdf"
"AGêNCIA ESTADUAL DE TECNOLOGIA DA INFORMAçãO","001/2024","1.026 MATERIAL DE LIMPEZA, CONSERVAÇÃO E HIGIENE",,"EM EXECUçãO",,"20008831000117 - VIVA DISTRIBUIDORA DE PRODUTOS EIRELI ME",2024/03/13 00:00:00.000,2025/03/12 00:00:00.000, 1140.0,"http://web.transparencia.pe.gov.br/contratos/851/LICON_Contrato_851_2024_001_1388805.pdf"
"AGêNCIA ESTADUAL DE TECNOLOGIA DA INFORMAçãO","002/2024","2.066 SERVIÇOS DE TRANSPORTE DE PASSAGEIROS",,"EM EXECUçãO",,"126621000116 - TRANS-SERVI TRANSPORTES E SERVIÇOS LTDA - ME",2024/03/21 00:00:00.000,2025/03/20 00:00:00.000, 22512.0,"http://web.transparencia.pe.gov.br/contratos/851/LICON_Contrato_851_2024_002_1389870.pdf"
"AGêNCIA ESTADUAL DE TECNOLOGIA DA INFORMAçãO","003/2024","2.099 SERVIÇO",,"EM EXECUçãO",,"3698620000134 - GREEN4T SOLUçõES TI LTDA",2024/04/25 00:00:00.000,2025/04/24 00:00:00.000, 1039887.0,"http://web.transparencia.pe.gov.br/contratos/851/LICON_Contrato_851_2024_003_1414591.pdf"
"AGêNCIA ESTADUAL DE TECNOLOGIA DA INFORMAçãO","004/2024","2.077 OUTROS SERVIÇOS DE INFORMÁTICA",,"EM EXECUçãO",,"76535764000143 - OI S.A- EM RECUPERAÇÃO JUDICIAL",2024/05/01 00:00:00.000,2025/04/30 00:00:00.000, 25751327.04,"http://web.transparencia.pe.gov.br/contratos/851/LICON_Contrato_851_2024_004_1422944.pdf"
"AGêNCIA ESTADUAL DE TECNOLOGIA DA INFORMAçãO","005/2024","1.207 SERVIÇO DE DESENVOLVIMENTO, MANUTENÇÃO E/OU SUPORTE TÉCNICO DE SOFTWARE",,"EM EXECUçãO",,"28712123000174 - MÓDULO SECURITY SOLUTIONS S.A",2024/04/30 00:00:00.000,2025/04/29 00:00:00.000, 198000.0,"http://web.transparencia.pe.gov.br/contratos/851/LICON_Contrato_851_2024_005_1405644.pdf"
"AGêNCIA ESTADUAL DE TECNOLOGIA DA INFORMAçãO","006/2024","2.077 OUTROS SERVIÇOS DE INFORMÁTICA",,"EM EXECUçãO",,"25359140000181 - ARVVO TECNOLOGIA CONSULTORIA E SERVIÇO LTDA",2024/04/30 00:00:00.000,2025/04/29 00:00:00.000, 1317990.0,"http://web.transparencia.pe.gov.br/contratos/851/LICON_Contrato_851_2024_006_1422939.pdf"
"AGêNCIA ESTADUAL DE TECNOLOGIA DA INFORMAçãO","007/2024","2.099 SERVIÇO",,"EM EXECUçãO",,"10921252000107 - COMPANHIA EDITORA DE PERNAMBUCO (CEPE)",2024/06/05 00:00:00.000,2025/06/04 00:00:00.000, 81853.2,"http://web.transparencia.pe.gov.br/contratos/851/LICON_Contrato_851_2024_007_1422953.pdf"
"AGêNCIA ESTADUAL DE TECNOLOGIA DA INFORMAçãO","008/2024","1.203 SUPRIMENTOS DE INFORMÁTICA",,"EM EXECUçãO",,"27745509000110 - SILVEIRA DALMAS LTDA",2024/06/03 00:00:00.000,2024/08/01 00:00:00.000, 87.5,"http://web.transparencia.pe.gov.br/contratos/851/LICON_Contrato_851_2024_008_1422959.pdf"
"AGêNCIA ESTADUAL DE TECNOLOGIA DA INFORMAçãO","009/2024","2.099 SERVIÇO",,"EM EXECUçãO",,"20853759000124 - GAMMA SERVICOS DE CONSTRUCAO LTDA",2024/06/26 00:00:00.000,2025/06/25 00:00:00.000, 53248.4,"http://web.transparencia.pe.gov.br/contratos/851/LICON_Contrato_851_2024_009_1422961.pdf"
"AGêNCIA PERNAMBUCANA DE VIGILâNCIA SANITáRIA","035/2024","2.066 SERVIÇOS DE TRANSPORTE DE PASSAGEIROS",,"EM EXECUçãO",,"126621000116 - TRANS SERVI - TRANSPORTES E SERVIçOS LTDA",2024/05/06 00:00:00.000,2025/05/05 00:00:00.000, 5000.0,"http://web.transparencia.pe.gov.br/contratos/872/LICON_Contrato_872_2024_035_1402110.pdf"
"AGêNCIA PERNAMBUCANA DE VIGILâNCIA SANITáRIA","33/2024","2.062 PASSAGENS E DESPESAS COM LOCOMOÇÃO",,"EM EXECUçãO",,"9480880000115 - BRASLUSO TURISMO LTDA - EPP",2024/05/13 00:00:00.000,2025/05/12 00:00:00.000, 81684.0,"http://web.transparencia.pe.gov.br/contratos/872/LICON_Contrato_872_2024_33_1415568.pdf"
"AGêNCIA PERNAMBUCANA DE VIGILâNCIA SANITáRIA","58/2024","1.200 SERVIÇO DE LOCAÇÃO DE EQUIPAMENTOS DE INFORMÁTICA",,"EM EXECUçãO",,"7432517000107 - SIMPRESS COMERCIO, LOCACAO E SERVICOS S/A",2024/06/07 00:00:00.000,2025/06/06 00:00:00.000, 140205.6,"http://web.transparencia.pe.gov.br/contratos/872/LICON_Contrato_872_2024_58_1415586.pdf"
"AGêNCIA PERNAMBUCANA DE ÁGUAS E CLIMA","001/2024","2.099 SERVIÇO",,"EM EXECUçãO",,"10998292000157 - CENTRO DE INTEGRACAO EMPRESA ESCOLA DE PERNAMBUCO",2024/04/01 00:00:00.000,2025/03/31 00:00:00.000, 179040.0,"http://web.transparencia.pe.gov.br/contratos/1227/LICON_Contrato_1227_2024_001_1394143.pdf"
"AGêNCIA PERNAMBUCANA DE ÁGUAS E CLIMA","002/2024","2.053 SERVIÇOS DE POSTAGEM E ENTREGA DE DOCUMENTOS",,"EM EXECUçãO",,"53833664000106 - ENILDO JOSE DOS SANTOS FILHO",2024/04/01 00:00:00.000,2025/03/31 00:00:00.000, 34560.0,"http://web.transparencia.pe.gov.br/contratos/1227/LICON_Contrato_1227_2024_002_1394512.pdf"
